"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C6IN Extra Large","c6in.xlarge","8.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 30 Gigabit","$0.2688 hourly","$0.1693 hourly","$0.0808 hourly","$0.4528 hourly","$0.3533 hourly"
"R6GD Extra Large","r6gd.xlarge","32.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.2704 hourly","$0.1704 hourly","$0.0946 hourly","unavailable","unavailable"
"R5 Extra Large","r5.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$0.2960 hourly","$0.1860 hourly","$0.0971 hourly","$0.4800 hourly","$0.3700 hourly"
"R6I Extra Large","r6i.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.2960 hourly","$0.1963 hourly","$0.0637 hourly","$0.4800 hourly","$0.3802 hourly"
"T4G Double Extra Large","t4g.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 5 Gigabit","$0.3008 hourly","$0.1898 hourly","$0.0795 hourly","unavailable","unavailable"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.3080 hourly","$0.1940 hourly","$0.1070 hourly","$0.4920 hourly","$0.3780 hourly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","Up to 10 Gigabit","$0.3120 hourly","$0.1974 hourly","$0.1028 hourly","$0.4960 hourly","$0.3814 hourly"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.3232 hourly","$0.2036 hourly","$0.1044 hourly","unavailable","unavailable"
"IS4GEN Large","is4gen.large","12.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","1875 GB                 NVMe SSD","Up to 25 Gigabit","$0.3353 hourly","$0.2289 hourly","$0.0373 hourly","unavailable","unavailable"
"R5D Extra Large","r5d.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.3380 hourly","$0.2130 hourly","$0.1337 hourly","$0.5220 hourly","$0.3970 hourly"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","Up to 5 Gigabit","$0.3398 hourly","$0.2141 hourly","$0.1207 hourly","$0.4870 hourly","$0.3613 hourly"
"C7G Double Extra Large","c7g.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 15 Gigabit","$0.3434 hourly","$0.2267 hourly","$0.0904 hourly","unavailable","unavailable"
"R5B Extra Large","r5b.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","Up to 10 Gigabit","$0.3500 hourly","$0.2216 hourly","$0.1108 hourly","$0.5340 hourly","$0.4056 hourly"
"R5N Extra Large","r5n.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","Up to 25 Gigabit","$0.3500 hourly","$0.2220 hourly","$0.0886 hourly","$0.5340 hourly","$0.4060 hourly"
"R6ID Extra Large","r6id.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.3549 hourly","$0.2236 hourly","$0.0882 hourly","$0.5389 hourly","$0.4076 hourly"
"M6G Double Extra Large","m6g.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton2 Processor","unknown","EBS only","Up to 10 Gigabit","$0.3552 hourly","$0.2238 hourly","$0.1131 hourly","unavailable","unavailable"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.3620 hourly","$0.2480 hourly","$0.1050 hourly","$0.5460 hourly","$0.4320 hourly"
"C6A Double Extra Large","c6a.2xlarge","16.0 GiB","8 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.3636 hourly","$0.2400 hourly","$0.1286 hourly","$0.7316 hourly","$0.6080 hourly"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","8 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","Up to 10 Gigabit","$0.3640 hourly","$0.2290 hourly","$0.1502 hourly","$0.7320 hourly","$0.5970 hourly"
"C6GD Double Extra Large","c6gd.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.3680 hourly","$0.2318 hourly","$0.0879 hourly","unavailable","unavailable"
"M7G Double Extra Large","m7g.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 15 Gigabit","$0.3774 hourly","$0.2493 hourly","$0.0833 hourly","unavailable","unavailable"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","Up to 5 Gigabit","$0.3776 hourly","$0.2379 hourly","$0.1212 hourly","$0.5248 hourly","$0.3851 hourly"
"I4I Extra Large","i4i.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","937 GB                 NVMe SSD","Up to 10 Gigabit","$0.3980 hourly","$0.2600 hourly","$0.0704 hourly","$0.5820 hourly","$0.4440 hourly"
"M6A Double Extra Large","m6a.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.3996 hourly","$0.2639 hourly","$0.1445 hourly","$0.7676 hourly","$0.6319 hourly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$0.4000 hourly","$0.2520 hourly","$0.1854 hourly","$0.7680 hourly","$0.6200 hourly"
"C6I Double Extra Large","c6i.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.4040 hourly","$0.2667 hourly","$0.1618 hourly","$0.7720 hourly","$0.6347 hourly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","Up to 10 Gigabit","$0.4040 hourly","$0.2550 hourly","$0.1556 hourly","$0.7720 hourly","$0.6230 hourly"
"C6GN Double Extra Large","c6gn.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 25 Gigabit","$0.4100 hourly","$0.2583 hourly","$0.1243 hourly","unavailable","unavailable"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.4192 hourly","$0.2641 hourly","$0.1427 hourly","unavailable","unavailable"
"IM4GN Extra Large","im4gn.xlarge","16.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","1875 GB                 NVMe SSD","Up to 25 Gigabit","$0.4221 hourly","$0.2722 hourly","$0.0450 hourly","unavailable","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   4h 4.8m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","Moderate","$0.4224 hourly","$0.2907 hourly","$0.1198 hourly","$0.4844 hourly","$0.3527 hourly"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","EBS only","Up to 25 Gigabit","$0.4240 hourly","$0.2670 hourly","$0.1229 hourly","unavailable","unavailable"
"C7I Double Extra Large","c7i.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.4242 hourly","$0.2800 hourly","$0.0848 hourly","$0.7922 hourly","$0.6480 hourly"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8151","4 GHz","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.4390 hourly","$0.2770 hourly","$0.0820 hourly","$0.6230 hourly","$0.4610 hourly"
"G4AD Extra Large","g4ad.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R32","2.8 GHz","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.4427 hourly","$0.3021 hourly","$0.1317 hourly","$0.6267 hourly","$0.4861 hourly"
"M7I-FLEX Double Extra Large","m7i-flex.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.4429 hourly","$0.2925 hourly","$0.1654 hourly","$0.7925 hourly","$0.6421 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$0.4440 hourly","$0.2800 hourly","$0.1505 hourly","$0.8120 hourly","$0.6480 hourly"
"M6I Double Extra Large","m6i.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.4440 hourly","$0.2933 hourly","$0.1646 hourly","$0.8120 hourly","$0.6613 hourly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","200 GB                 NVMe SSD","Up to 10 Gigabit","$0.4600 hourly","$0.2900 hourly","$0.1908 hourly","$0.8280 hourly","$0.6580 hourly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","High","$0.4640 hourly","$0.3150 hourly","$0.1850 hourly","$0.8320 hourly","$0.6830 hourly"
"M7I Double Extra Large","m7i.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.4662 hourly","$0.3079 hourly","$0.1947 hourly","$0.8342 hourly","$0.6759 hourly"
"R6G Double Extra Large","r6g.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.4736 hourly","$0.2984 hourly","$0.1193 hourly","unavailable","unavailable"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","8 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","High","$0.4760 hourly","$0.3280 hourly","$0.1548 hourly","$0.8440 hourly","$0.6960 hourly"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.4800 hourly","$0.3020 hourly","$0.1995 hourly","$0.8480 hourly","$0.6700 hourly"
"C6ID Double Extra Large","c6id.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.4830 hourly","$0.3043 hourly","$0.1623 hourly","$0.8510 hourly","$0.6723 hourly"
"R7G Double Extra Large","r7g.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 15 Gigabit","$0.5032 hourly","$0.3336 hourly","$0.1101 hourly","unavailable","unavailable"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","8 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","Up to 25 Gigabit","$0.5120 hourly","$0.3230 hourly","$0.1849 hourly","$0.8800 hourly","$0.6910 hourly"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.5240 hourly","$0.3300 hourly","$0.2415 hourly","$0.8920 hourly","$0.6980 hourly"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","2500 GB                 NVMe SSD","Up to 25 Gigabit","$0.5260 hourly","$0.3600 hourly","$0.1429 hourly","$0.7100 hourly","$0.5440 hourly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$0.5320 hourly","$0.3350 hourly","$0.2292 hourly","$0.9000 hourly","$0.7030 hourly"
"C6IN Double Extra Large","c6in.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 40 Gigabit","$0.5376 hourly","$0.3387 hourly","$0.1693 hourly","$0.9056 hourly","$0.7067 hourly"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.5408 hourly","$0.3407 hourly","$0.1443 hourly","unavailable","unavailable"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$0.5920 hourly","$0.3730 hourly","$0.2273 hourly","$0.9600 hourly","$0.7410 hourly"
"R6I Double Extra Large","r6i.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.5920 hourly","$0.3925 hourly","$0.2035 hourly","$0.9600 hourly","$0.7605 hourly"
"G4DN Extra Large","g4dn.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Family","2.5 GHz","125 GB                 NVMe SSD","Up to 25 Gigabit","$0.6150 hourly","$0.4200 hourly","$0.2129 hourly","$0.7990 hourly","$0.6040 hourly"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.6160 hourly","$0.3880 hourly","$0.3023 hourly","$0.9840 hourly","$0.7560 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","Up to 10 Gigabit","$0.6240 hourly","$0.3948 hourly","$0.2208 hourly","$0.9920 hourly","$0.7628 hourly"
"G4AD Double Extra Large","g4ad.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7R32","2.8 GHz","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.6329 hourly","$0.4319 hourly","$0.1601 hourly","$1.0009 hourly","$0.7999 hourly"
"D3 Extra Large","d3.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","5940 GB                 (3 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$0.6400 hourly","$0.4030 hourly","$0.1162 hourly","$0.8240 hourly","$0.5870 hourly"
"C6G Quadruple Extra Large","c6g.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.6464 hourly","$0.4072 hourly","$0.1895 hourly","unavailable","unavailable"
"IS4GEN Extra Large","is4gen.xlarge","24.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","3750 GB                 NVMe SSD","Up to 25 Gigabit","$0.6706 hourly","$0.4578 hourly","$0.0702 hourly","unavailable","unavailable"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.6760 hourly","$0.4260 hourly","$0.2494 hourly","$1.0440 hourly","$0.7940 hourly"
"C7G Quadruple Extra Large","c7g.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 15 Gigabit","$0.6869 hourly","$0.4534 hourly","$0.1783 hourly","unavailable","unavailable"
"R5N Double Extra Large","r5n.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","Up to 25 Gigabit","$0.7000 hourly","$0.4430 hourly","$0.2212 hourly","$1.0680 hourly","$0.8110 hourly"
"R5B Double Extra Large","r5b.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","Up to 10 Gigabit","$0.7000 hourly","$0.4431 hourly","$0.2828 hourly","$1.0680 hourly","$0.8111 hourly"
"R6ID Double Extra Large","r6id.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.7098 hourly","$0.4472 hourly","$0.2282 hourly","$1.0778 hourly","$0.8152 hourly"
"M6G Quadruple Extra Large","m6g.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton2 Processor","unknown","EBS only","Up to 10 Gigabit","$0.7104 hourly","$0.4476 hourly","$0.2019 hourly","unavailable","unavailable"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","1900 GB                 NVMe SSD","Up to 10 Gigabit","$0.7240 hourly","$0.4960 hourly","$0.2311 hourly","$1.0920 hourly","$0.8640 hourly"
"C6A Quadruple Extra Large","c6a.4xlarge","32.0 GiB","16 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.7272 hourly","$0.4801 hourly","$0.2098 hourly","$1.4632 hourly","$1.2161 hourly"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","16 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","Up to 10 Gigabit","$0.7280 hourly","$0.4590 hourly","$0.2890 hourly","$1.4640 hourly","$1.1950 hourly"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.7360 hourly","$0.4637 hourly","$0.2004 hourly","unavailable","unavailable"
"M7G Quadruple Extra Large","m7g.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 15 Gigabit","$0.7549 hourly","$0.4986 hourly","$0.1764 hourly","unavailable","unavailable"
"D2 Extra Large","d2.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","6144 GB                 (3 * 2048 GB HDD)","Moderate","$0.7720 hourly","$0.4690 hourly","$0.1452 hourly","$0.9560 hourly","$0.6530 hourly"
"I4I Double Extra Large","i4i.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1875 GB                 NVMe SSD","Up to 12 Gigabit","$0.7960 hourly","$0.5200 hourly","$0.2688 hourly","$1.1640 hourly","$0.8880 hourly"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.7992 hourly","$0.5279 hourly","$0.3683 hourly","$1.5352 hourly","$1.2639 hourly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$0.8000 hourly","$0.5040 hourly","$0.3498 hourly","$1.5360 hourly","$1.2400 hourly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","Up to 10 Gigabit","$0.8080 hourly","$0.5090 hourly","$0.1651 hourly","$1.5440 hourly","$1.2450 hourly"
"C6I Quadruple Extra Large","c6i.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.8080 hourly","$0.5334 hourly","$0.2756 hourly","$1.5440 hourly","$1.2694 hourly"
"C6GN Quadruple Extra Large","c6gn.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","25 Gigabit","$0.8200 hourly","$0.5166 hourly","$0.1946 hourly","unavailable","unavailable"
"M6GD Quadruple Extra Large","m6gd.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.8384 hourly","$0.5282 hourly","$0.3067 hourly","unavailable","unavailable"
"IM4GN Double Extra Large","im4gn.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","3750 GB                 NVMe SSD","Up to 25 Gigabit","$0.8442 hourly","$0.5445 hourly","$0.2166 hourly","unavailable","unavailable"
"C7I Quadruple Extra Large","c7i.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.8484 hourly","$0.5601 hourly","$0.1721 hourly","$1.5844 hourly","$1.2961 hourly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8151","4 GHz","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.8790 hourly","$0.5540 hourly","$0.2732 hourly","$1.2470 hourly","$0.9220 hourly"
"G4DN Double Extra Large","g4dn.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Family","2.5 GHz","225 GB                 NVMe SSD","Up to 25 Gigabit","$0.8800 hourly","$0.6000 hourly","$0.2807 hourly","$1.2480 hourly","$0.9680 hourly"
"M7I-FLEX Quadruple Extra Large","m7i-flex.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.8858 hourly","$0.5851 hourly","$0.3404 hourly","$1.5850 hourly","$1.2843 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","Up to 10 Gigabit","$0.8880 hourly","$0.5590 hourly","$0.4719 hourly","$1.6240 hourly","$1.2950 hourly"
"M6I Quadruple Extra Large","m6i.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 12.5 Gigabit","$0.8880 hourly","$0.5865 hourly","$0.3315 hourly","$1.6240 hourly","$1.3225 hourly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","400 GB                 NVMe SSD","Up to 10 Gigabit","$0.9200 hourly","$0.5800 hourly","$0.4793 hourly","$1.6560 hourly","$1.3160 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","High","$0.9280 hourly","$0.6300 hourly","$0.3574 hourly","$1.6640 hourly","$1.3660 hourly"
"M7I Quadruple Extra Large","m7i.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","Up to 12.5 Gigabit","$0.9324 hourly","$0.6159 hourly","$0.3595 hourly","$1.6684 hourly","$1.3518 hourly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","Up to 10 Gigabit","$0.9400 hourly","$0.7160 hourly","$0.1603 hourly","$1.1240 hourly","$0.9000 hourly"
"R6G Quadruple Extra Large","r6g.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.9472 hourly","$0.5967 hourly","$0.1998 hourly","unavailable","unavailable"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","16 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","High","$0.9500 hourly","$0.6550 hourly","$0.1863 hourly","$1.6860 hourly","$1.3910 hourly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.9600 hourly","$0.6050 hourly","$0.4110 hourly","$1.6960 hourly","$1.3410 hourly"
"C6ID Quadruple Extra Large","c6id.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.9660 hourly","$0.6086 hourly","$0.2704 hourly","$1.7020 hourly","$1.3446 hourly"
"R7G Quadruple Extra Large","r7g.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 15 Gigabit","$1.0064 hourly","$0.6672 hourly","$0.2013 hourly","unavailable","unavailable"
"G4AD Quadruple Extra Large","g4ad.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7R32","2.8 GHz","600 GB                 NVMe SSD","Up to 10 Gigabit","$1.0140 hourly","$0.6920 hourly","$0.2365 hourly","$1.7500 hourly","$1.4280 hourly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","Up to 25 Gigabit","$1.0240 hourly","$0.6450 hourly","$0.3409 hourly","$1.7600 hourly","$1.3810 hourly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.0480 hourly","$0.6600 hourly","$0.6534 hourly","$1.7840 hourly","$1.3960 hourly"
"X2IEDN Extra Large","x2iedn.xlarge","128.0 GiB","4 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","118 GB                 NVMe SSD","Up to 25 Gigabit","$1.0504 hourly","$0.6463 hourly","$0.1051 hourly","$1.2344 hourly","$0.8303 hourly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","5000 GB                 (2 * 2500 GB NVMe SSD)","Up to 25 Gigabit","$1.0520 hourly","$0.7190 hourly","$0.3069 hourly","$1.4200 hourly","$1.0870 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$1.0640 hourly","$0.6700 hourly","$0.3671 hourly","$1.8000 hourly","$1.4060 hourly"
"C6IN Quadruple Extra Large","c6in.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","Up to 50 Gigabit","$1.0752 hourly","$0.6774 hourly","$0.2426 hourly","$1.8112 hourly","$1.4134 hourly"
