"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0850 hourly","$0.0535 hourly","$0.0291 hourly","$0.1126 hourly","$0.0811 hourly"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 12.5 Gigabit","$0.0859 hourly","$0.0567 hourly","$0.0275 hourly","unavailable","unavailable"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","AWS Graviton2 Processor","unknown","EBS only","Up to 10 Gigabit","$0.0888 hourly","$0.0559 hourly","$0.0288 hourly","unavailable","unavailable"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.0909 hourly","$0.0600 hourly","$0.0326 hourly","$0.1829 hourly","$0.1520 hourly"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","Up to 10 Gigabit","$0.0910 hourly","$0.0570 hourly","$0.0319 hourly","$0.1830 hourly","$0.1490 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0920 hourly","$0.0580 hourly","$0.0271 hourly","unavailable","unavailable"
"M7G Large","m7g.large","8.0 GiB","2 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 12.5 Gigabit","$0.0944 hourly","$0.0623 hourly","$0.0202 hourly","unavailable","unavailable"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","Up to 5 Gigabit","$0.0944 hourly","$0.0595 hourly","$0.0313 hourly","$0.1220 hourly","$0.0871 hourly"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.0999 hourly","$0.0660 hourly","$0.0242 hourly","$0.1919 hourly","$0.1580 hourly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","Up to 10 Gigabit","$0.1000 hourly","$0.0630 hourly","$0.0411 hourly","$0.1920 hourly","$0.1550 hourly"
